event_year,case_model,extraction_period,source_field,amount_format_cohort,event_count
2004,criminal,legacy_2000_2013,description,explicit_currency_not_recognized,1
2004,criminal,unknown_period,docketEntryComment,no_amount_signal,1
2004,family_domestic_violence,historical_pre_2000,description,no_amount_signal,1
2004,probate,legacy_2000_2013,description,recognized_money_but_no_total,1
2005,civil_general,legacy_2000_2013,description,no_amount_signal,10345
2005,criminal,legacy_2000_2013,description,no_amount_signal,2176
2005,unlawful_detainer,legacy_2000_2013,description,no_amount_signal,2041
2005,small_claims,legacy_2000_2013,description,no_amount_signal,1538
2005,family_multi_order,legacy_2000_2013,description,no_amount_signal,843
2005,writ_or_mandate,legacy_2000_2013,description,no_amount_signal,171
2005,small_claims,legacy_2000_2013,description,recognized_money_but_no_total,159
2005,civil_general,historical_pre_2000,description,no_amount_signal,90
2005,criminal,unknown_period,description,no_amount_signal,78
2005,writ_or_mandate,legacy_2000_2013,description,recognized_money_but_no_total,76
2005,family_multi_order,historical_pre_2000,description,no_amount_signal,62
2005,criminal,historical_pre_2000,description,no_amount_signal,54
2005,probate,legacy_2000_2013,description,no_amount_signal,48
2005,writ_or_mandate,historical_pre_2000,description,recognized_money_but_no_total,45
2005,criminal,legacy_2000_2013,docketEntryComment,no_amount_signal,41
2005,civil_general,legacy_2000_2013,description,recognized_money_but_no_total,30
2005,unlawful_detainer,legacy_2000_2013,description,recognized_money_but_no_total,10
2005,criminal,legacy_2000_2013,description,recognized_money_but_no_total,5
2005,family_domestic_violence,legacy_2000_2013,description,no_amount_signal,3
2005,appellate_review,legacy_2000_2013,description,no_amount_signal,2
2005,probate,historical_pre_2000,description,no_amount_signal,2
2005,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,1
2005,criminal,unknown_period,docketEntryComment,no_amount_signal,1
2005,small_claims,historical_pre_2000,description,no_amount_signal,1
2005,writ_or_mandate,historical_pre_2000,description,no_amount_signal,1
2006,civil_general,legacy_2000_2013,description,no_amount_signal,10492
2006,unlawful_detainer,legacy_2000_2013,description,no_amount_signal,1764
2006,criminal,legacy_2000_2013,description,no_amount_signal,1566
2006,small_claims,legacy_2000_2013,description,no_amount_signal,1512
2006,family_multi_order,legacy_2000_2013,description,no_amount_signal,772
2006,writ_or_mandate,legacy_2000_2013,description,no_amount_signal,135
2006,writ_or_mandate,legacy_2000_2013,description,recognized_money_but_no_total,74
2006,civil_general,historical_pre_2000,description,no_amount_signal,62
2006,criminal,legacy_2000_2013,docketEntryComment,no_amount_signal,60
2006,family_multi_order,historical_pre_2000,description,no_amount_signal,48
2006,criminal,unknown_period,description,no_amount_signal,41
2006,criminal,historical_pre_2000,description,no_amount_signal,33
2006,probate,legacy_2000_2013,description,no_amount_signal,26
2006,civil_general,legacy_2000_2013,description,recognized_money_but_no_total,17
2006,writ_or_mandate,historical_pre_2000,description,recognized_money_but_no_total,13
2006,small_claims,legacy_2000_2013,description,recognized_money_but_no_total,12
2006,unlawful_detainer,legacy_2000_2013,description,recognized_money_but_no_total,5
2006,family_domestic_violence,legacy_2000_2013,description,no_amount_signal,4
2006,criminal,legacy_2000_2013,description,recognized_money_but_no_total,3
2006,probate,historical_pre_2000,description,no_amount_signal,3
2006,writ_or_mandate,historical_pre_2000,description,no_amount_signal,3
2006,criminal,legacy_2000_2013,docketEntryComment,recognized_money_but_no_total,2
2006,appellate_review,legacy_2000_2013,description,no_amount_signal,1
2006,unlawful_detainer,historical_pre_2000,description,no_amount_signal,1
2007,civil_general,legacy_2000_2013,description,no_amount_signal,11190
2007,unlawful_detainer,legacy_2000_2013,description,no_amount_signal,1835
2007,small_claims,legacy_2000_2013,description,no_amount_signal,1577
2007,criminal,legacy_2000_2013,description,no_amount_signal,1441
2007,family_multi_order,legacy_2000_2013,description,no_amount_signal,663
2007,writ_or_mandate,legacy_2000_2013,description,no_amount_signal,167
2007,civil_general,historical_pre_2000,description,no_amount_signal,56
2007,writ_or_mandate,legacy_2000_2013,description,recognized_money_but_no_total,52
2007,criminal,unknown_period,description,no_amount_signal,51
2007,family_multi_order,historical_pre_2000,description,no_amount_signal,34
2007,criminal,historical_pre_2000,description,no_amount_signal,32
2007,criminal,legacy_2000_2013,docketEntryComment,no_amount_signal,24
2007,probate,legacy_2000_2013,description,no_amount_signal,21
2007,civil_general,legacy_2000_2013,description,recognized_money_but_no_total,12
2007,small_claims,legacy_2000_2013,description,recognized_money_but_no_total,12
2007,family_domestic_violence,legacy_2000_2013,description,no_amount_signal,6
2007,unlawful_detainer,legacy_2000_2013,description,recognized_money_but_no_total,5
2007,writ_or_mandate,historical_pre_2000,description,recognized_money_but_no_total,5
2007,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,3
2007,criminal,legacy_2000_2013,description,recognized_money_but_no_total,2
2007,civil_general,historical_pre_2000,description,recognized_money_but_no_total,1
2007,criminal,unknown_period,docketEntryComment,no_amount_signal,1
2007,probate,historical_pre_2000,description,no_amount_signal,1
2007,unlawful_detainer,historical_pre_2000,description,no_amount_signal,1
2008,civil_general,legacy_2000_2013,description,no_amount_signal,12167
2008,unlawful_detainer,legacy_2000_2013,description,no_amount_signal,1764
2008,small_claims,legacy_2000_2013,description,no_amount_signal,1639
